Date,High,Low,Open,Close,Volume,Adj Close
2020-01-02,180.00999450683594,177.13999938964844,177.67999267578125,180.0,3601700,180.0
2020-01-03,178.66000366210938,175.6300048828125,177.02000427246094,178.4499969482422,2466900,178.4499969482422
2020-01-06,178.7100067138672,176.35000610351562,177.14999389648438,178.6199951171875,1998000,178.6199951171875
2020-01-07,178.50999450683594,176.82000732421875,178.27999877929688,177.89999389648438,2173000,177.89999389648438
2020-01-08,181.5,177.64999389648438,178.0,180.6300048828125,2758300,180.6300048828125
2020-01-09,181.58999633789062,179.75999450683594,181.50999450683594,181.1999969482422,2746300,181.1999969482422
2020-01-10,182.17999267578125,180.13999938964844,181.61000061035156,180.47000122070312,2103800,180.47000122070312
2020-01-13,182.22999572753906,180.36000061035156,180.94000244140625,180.9199981689453,2090800,180.9199981689453
2020-01-14,182.5500030517578,180.2100067138672,180.9199981689453,181.3699951171875,2911200,181.3699951171875
2020-01-15,181.86000061035156,179.17999267578125,181.4199981689453,179.77999877929688,2482200,179.77999877929688
2020-01-16,181.1999969482422,179.69000244140625,180.67999267578125,181.00999450683594,2149900,181.00999450683594
2020-01-17,182.14999389648438,180.6999969482422,181.0,181.35000610351562,3690100,181.35000610351562
2020-01-21,181.91000366210938,178.6300048828125,181.85000610351562,179.38999938964844,3367700,179.38999938964844
2020-01-22,180.57000732421875,177.8800048828125,179.50999450683594,178.02999877929688,2420200,178.02999877929688
2020-01-23,178.44000244140625,176.38999938964844,177.07000732421875,177.74000549316406,2358400,177.74000549316406
2020-01-24,179.80999755859375,177.52999877929688,178.49000549316406,178.14999389648438,2643100,178.14999389648438
2020-01-27,180.58999633789062,175.5399932861328,179.86000061035156,175.6300048828125,4361400,175.6300048828125
2020-01-28,172.33999633789062,165.0500030517578,171.89999389648438,165.5800018310547,8920700,165.5800018310547
2020-01-29,166.47000122070312,161.52999877929688,166.35000610351562,162.0,5343900,162.0
2020-01-30,162.63999938964844,158.75999450683594,161.0,162.50999450683594,4357100,162.50999450683594
2020-01-31,162.64999389648438,158.22999572753906,162.0,158.66000366210938,5740300,158.66000366210938
2020-02-03,160.30999755859375,156.3800048828125,160.02999877929688,156.58999633789062,3927100,156.58999633789062
2020-02-04,159.9600067138672,157.0,159.77000427246094,157.24000549316406,4363900,157.24000549316406
2020-02-05,162.3300018310547,158.6999969482422,159.1199951171875,162.3300018310547,3118200,162.3300018310547
2020-02-06,165.0,162.47000122070312,164.49000549316406,162.88999938964844,3413800,162.88999938964844
2020-02-07,161.9199981689453,159.6300048828125,161.41000366210938,160.0800018310547,2734400,160.0800018310547
