Date,High,Low,Open,Close,Volume,Adj Close
2020-01-02,209.7899932861328,206.27000427246094,206.75,209.77999877929688,12077100,209.77999877929688
2020-01-03,210.39999389648438,206.9499969482422,207.2100067138672,208.6699981689453,11188400,208.6699981689453
2020-01-06,212.77999877929688,206.52000427246094,206.6999969482422,212.60000610351562,17058900,212.60000610351562
2020-01-07,214.5800018310547,211.75,212.82000732421875,213.05999755859375,14912400,213.05999755859375
2020-01-08,216.24000549316406,212.61000061035156,213.0,215.22000122070312,13475000,215.22000122070312
2020-01-09,218.3800048828125,216.27999877929688,217.5399932861328,218.3000030517578,12642800,218.3000030517578
2020-01-10,219.8800048828125,217.4199981689453,219.1999969482422,218.05999755859375,12119400,218.05999755859375
2020-01-13,221.97000122070312,219.2100067138672,219.60000610351562,221.91000366210938,14463400,221.91000366210938
2020-01-14,222.3800048828125,218.6300048828125,221.61000061035156,219.05999755859375,13288900,219.05999755859375
2020-01-15,221.67999267578125,220.13999938964844,220.61000061035156,221.14999389648438,10036500,221.14999389648438
2020-01-16,222.6300048828125,220.38999938964844,222.57000732421875,221.77000427246094,10015300,221.77000427246094
2020-01-17,222.2899932861328,220.52999877929688,222.02999877929688,222.13999938964844,15905900,222.13999938964844
2020-01-21,222.3699951171875,219.1199951171875,222.16000366210938,221.44000244140625,14275800,221.44000244140625
2020-01-22,222.75,221.27999877929688,222.30999755859375,221.32000732421875,12212800,221.32000732421875
2020-01-23,221.49000549316406,219.27000427246094,220.75,219.75999450683594,11195000,219.75999450683594
2020-01-24,221.77999877929688,216.11000061035156,220.8000030517578,217.94000244140625,11905800,217.94000244140625
2020-01-27,216.05999755859375,212.5,213.10000610351562,214.8699951171875,13810700,214.8699951171875
2020-01-28,218.74000549316406,213.52000427246094,216.13999938964844,217.7899932861328,13413800,217.7899932861328
2020-01-29,224.1999969482422,218.4499969482422,221.44000244140625,223.22999572753906,33181300,223.22999572753906
2020-01-30,211.42999267578125,204.75,206.52999877929688,209.52999877929688,48775500,209.52999877929688
2020-01-31,208.69000244140625,201.05999755859375,208.42999267578125,201.91000366210938,31359900,201.91000366210938
2020-02-03,205.13999938964844,202.5,203.44000244140625,204.19000244140625,15510500,204.19000244140625
2020-02-04,210.60000610351562,205.1999969482422,206.6199951171875,209.8300018310547,19628900,209.8300018310547
2020-02-05,212.72999572753906,208.7100067138672,212.50999450683594,210.11000061035156,12538200,210.11000061035156
2020-02-06,211.19000244140625,209.33999633789062,210.47000122070312,210.85000610351562,10567500,210.85000610351562
2020-02-07,212.82000732421875,209.92999267578125,210.3000030517578,212.3300018310547,12227200,212.3300018310547
